TrackName,ArtistName,LyricsLink,SpotifyID
Verliebte Jungs,Purple Schulz,https://www.songtexte.com/songtext/purple-schulz/verliebte-jungs-2bce1882.html,5Rugk3pKgC2yMo8jKQdStl
Wat!,Willem,,36cKLt7uMc4ccL0cbOJTwq
Annemarie,Extrabreit,,1r7iXx7Ydzzy6KYdxEGm8u
FILM 2,Grauzone,,5RGGhlHAHGMLYHDRW1hWab
Keine Macht für niemand,Ton Steine Scherben,,2yw6quFRAzoigN89yf6q6x
Alte Pizza,Der Plan,,40xhWF8558t90mBhNeXeTh
Herzlichen Glückwunsch,Spliff,,3CGrK5sikbleClHttiVBwH
Wahre Arbeit - Wahrer Lohn,Die Krupps,,1JTxOJ4GbPlpLKUu3nAYoK
Ostberlin - Wahnsinn,Lilli Berlin,https://www.songtexte.com/songtext/lilli-berlin/ostberlin-wahnsinn-5310bb7d.html,6FI5ZqtJj0NanmKMHAxZOM
Ba-Ba-Banküberfall,EAV (Erste Allgemeine Verunsicherung),https://www.songtexte.com/songtext/erste-allgemeine-verunsicherung/ba-ba-bankuberfall-4be497da.html,1LAdc8CC4UZibUnkIbVfX3
Karl der Käfer Songtext,Gänsehaut,https://www.songtexte.com/songtext/gansehaut/karl-der-kafer-bc3019a.html,7uT0rZi9lr4wajZbaLp9LM

